Time,Grade,Q1,Q2,Q3,Q4,Q5
4 mins 33 secs,100,20,20,20,20,20
4 mins 38 secs,100,20,20,20,20,20
4 mins,100,20,20,20,20,20
5 mins,100,20,20,20,20,20
5 mins 1 sec,100,20,20,20,20,20
4 mins 59 secs,100,20,20,20,20,20
3 mins 38 secs,100,20,20,20,20,20
4 mins 8 secs,100,20,20,20,20,20
3 mins 26 secs,100,20,20,20,20,20
5 mins 2 secs,80,-,20,20,20,20
5 mins 1 sec,80,20,20,-,20,20
4 mins 53 secs,75,-5,20,20,20,20
5 mins 1 sec,75,-5,20,20,20,20
5 mins,75,20,-5,20,20,20
4 mins 15 secs,75,-5,20,20,20,20
4 mins 20 secs,75,20,-5,20,20,20
5 mins 1 sec,75,20,-5,20,20,20
4 mins 17 secs,75,20,-5,20,20,20
5 mins,75,20,20,20,20,-5
5 mins,75,20,20,20,-5,20
4 mins 56 secs,75,20,-5,20,20,20
4 mins 57 secs,75,-5,20,20,20,20
3 mins 54 secs,75,-5,20,20,20,20
4 mins 55 secs,75,-5,20,20,20,20
4 mins 53 secs,75,20,20,-5,20,20
4 mins 41 secs,75,-5,20,20,20,20
4 mins 45 secs,75,20,-5,20,20,20
4 mins 33 secs,75,-5,20,20,20,20
3 mins 38 secs,75,20,20,20,-5,20
4 mins 29 secs,75,-5,20,20,20,20
4 mins 27 secs,75,-5,20,20,20,20
3 mins 46 secs,75,-5,20,20,20,20
4 mins,75,-5,20,20,20,20
4 mins 10 secs,75,-5,20,20,20,20
3 mins 53 secs,75,20,20,-5,20,20
3 mins 48 secs,75,20,-5,20,20,20
4 mins 23 secs,60,20,-,-,20,20
3 mins 29 secs,60,-,20,20,20,-
5 mins,55,-,20,20,-5,20
5 mins 1 sec,55,20,-,-5,20,20
3 mins 47 secs,55,-,20,20,20,-5
4 mins 50 secs,55,20,20,-,-5,20
4 mins 47 secs,55,20,20,-,20,-5
4 mins 39 secs,55,20,-5,20,-,20
3 mins 57 secs,55,20,20,-,-5,20
4 mins 29 secs,50,-5,20,20,-5,20
5 mins 1 sec,50,-5,20,-5,20,20
5 mins 1 sec,50,-5,20,-5,20,20
5 mins 1 sec,50,-5,20,-5,20,20
2 mins 27 secs,50,-5,20,20,20,-5
2 mins 21 secs,50,-5,20,20,-5,20
5 mins,50,-5,20,20,-5,20
3 mins 17 secs,50,-5,-5,20,20,20
4 mins 55 secs,50,-5,20,20,-5,20
5 mins,50,-5,20,20,-5,20
